3230.csv has INVALID utf-8
3231.csv has INVALID utf-8
3232.csv has INVALID utf-8
3233.csv has INVALID utf-8
3234.csv has INVALID utf-8
3235.csv has INVALID utf-8
3236.csv has INVALID utf-8
3237.csv has INVALID utf-8
3238.csv has INVALID utf-8
3239.csv has INVALID utf-8
3240.csv has INVALID utf-8
3241.csv has INVALID utf-8
3242.csv has INVALID utf-8
3243.csv has INVALID utf-8
3244.csv has INVALID utf-8
3245.csv has INVALID utf-8
3246.csv has INVALID utf-8
3247.csv has INVALID utf-8
3248.csv has INVALID utf-8
3249.csv has INVALID utf-8
3250.csv has INVALID utf-8
3251.csv has VALID utf-8
3252.csv has INVALID utf-8
3253.csv has INVALID utf-8
3254.csv has INVALID utf-8
3255.csv has INVALID utf-8
3256.csv has INVALID utf-8
3258.csv has INVALID utf-8
3257.csv has INVALID utf-8
3259.csv has INVALID utf-8
3260.csv has INVALID utf-8
3261.csv has INVALID utf-8
3262.csv has INVALID utf-8
3263.csv has INVALID utf-8
3265.csv has INVALID utf-8
3264.csv has INVALID utf-8
3266.csv has INVALID utf-8
3267.csv has INVALID utf-8
3268.csv has INVALID utf-8
3269.csv has INVALID utf-8
3270.csv has INVALID utf-8
3271.csv has VALID utf-8
3272.csv has INVALID utf-8
3273.csv has INVALID utf-8
3274.csv has INVALID utf-8
3275.csv has INVALID utf-8
3276.csv has INVALID utf-8
3277.csv has INVALID utf-8
3278.csv has INVALID utf-8
3279.csv has INVALID utf-8
3280.csv has INVALID utf-8
3281.csv has INVALID utf-8
3282.csv has INVALID utf-8
3283.csv has INVALID utf-8
3284.csv has INVALID utf-8
3285.csv has INVALID utf-8
3286.csv has INVALID utf-8
3287.csv has INVALID utf-8
3288.csv has INVALID utf-8
3289.csv has INVALID utf-8
3290.csv has INVALID utf-8
3292.csv has INVALID utf-8
3291.csv has INVALID utf-8
3293.csv has INVALID utf-8
3294.csv has INVALID utf-8
3295.csv has INVALID utf-8
3296.csv has INVALID utf-8
3297.csv has INVALID utf-8
3298.csv has INVALID utf-8
3299.csv has INVALID utf-8
3300.csv has INVALID utf-8
3301.csv has INVALID utf-8
3302.csv has INVALID utf-8
3303.csv has INVALID utf-8
3304.csv has INVALID utf-8
3305.csv has INVALID utf-8
3306.csv has INVALID utf-8
3307.csv has INVALID utf-8
3308.csv has INVALID utf-8
3309.csv has INVALID utf-8
3310.csv has INVALID utf-8
3311.csv has INVALID utf-8
3312.csv has INVALID utf-8
3313.csv has INVALID utf-8
3314.csv has INVALID utf-8
3315.csv has INVALID utf-8
3316.csv has INVALID utf-8
3317.csv has INVALID utf-8
3318.csv has INVALID utf-8
3319.csv has INVALID utf-8
3320.csv has INVALID utf-8
3321.csv has INVALID utf-8
3322.csv has INVALID utf-8
3323.csv has INVALID utf-8
3324.csv has INVALID utf-8
3325.csv has INVALID utf-8
3326.csv has INVALID utf-8
3327.csv has INVALID utf-8
3328.csv has INVALID utf-8
3329.csv has INVALID utf-8
3330.csv has INVALID utf-8
3331.csv has INVALID utf-8
3332.csv has INVALID utf-8
3333.csv has INVALID utf-8
3334.csv has VALID utf-8
3336.csv has VALID utf-8
3335.csv has INVALID utf-8
3337.csv has VALID utf-8
3338.csv has VALID utf-8
3339.csv has INVALID utf-8
3340.csv has VALID utf-8
3341.csv has VALID utf-8
3342.csv has VALID utf-8
3343.csv has VALID utf-8
3344.csv has INVALID utf-8
3345.csv has VALID utf-8
3346.csv has VALID utf-8
3348.csv has VALID utf-8
3347.csv has VALID utf-8
3349.csv has VALID utf-8
3350.csv has VALID utf-8
3351.csv has VALID utf-8
3352.csv has VALID utf-8
3353.csv has VALID utf-8
3355.csv has VALID utf-8
3354.csv has INVALID utf-8
3356.csv has VALID utf-8
3357.csv has VALID utf-8
3358.csv has VALID utf-8
3360.csv has VALID utf-8
3359.csv has INVALID utf-8
3361.csv has VALID utf-8
3362.csv has VALID utf-8
3363.csv has INVALID utf-8
3364.csv has VALID utf-8
3365.csv has VALID utf-8
